formula,Elements,Metal_NonMetal,Electronegativity,Num_Elements,Atomic_Composition,Is_Metal
SLu2Mg4Fe6,"['S', 'Lu', 'Mg', 'Fe']","['S - Non-Metal', 'Lu - Metal', 'Mg - Metal', 'Fe - Metal']","[2.58, 1.27, 1.31, 1.83]",4,"{'S': 1.0, 'Lu': 2.0, 'Mg': 4.0, 'Fe': 6.0}",TRUE
CRe2S3,"['C', 'Re', 'S']","['C - Non-Metal', 'Re - Metal', 'S - Non-Metal']","[2.55, 1.9, 2.58]",3,"{'C': 1.0, 'Re': 2.0, 'S': 3.0}",FALSE
Si2Sc3I3,"['Si', 'Sc', 'I']","['Si - Non-Metal', 'Sc - Metal', 'I - Non-Metal']","[1.9, 1.36, 2.66]",3,"{'Si': 2.0, 'Sc': 3.0, 'I': 3.0}",TRUE
Pd2Ge3,"['Pd', 'Ge']","['Pd - Metal', 'Ge - Non-Metal']","[2.2, 2.01]",2,"{'Pd': 2.0, 'Ge': 3.0}",FALSE
Ge2Kr3Ta8,"['Ge', 'Kr', 'Ta']","['Ge - Non-Metal', 'Kr - Non-Metal', 'Ta - Metal']","[2.01, 3.0, 1.5]",3,"{'Ge': 2.0, 'Kr': 3.0, 'Ta': 8.0}",FALSE
RnRh2O5,"['Rn', 'Rh', 'O']","['Rn - Non-Metal', 'Rh - Metal', 'O - Non-Metal']","[2.2, 2.28, 3.44]",3,"{'Rn': 1.0, 'Rh': 2.0, 'O': 5.0}",FALSE
Nb2S5,"['Nb', 'S']","['Nb - Metal', 'S - Non-Metal']","[1.6, 2.58]",2,"{'Nb': 2.0, 'S': 5.0}",TRUE
InP3,"['In', 'P']","['In - Metal', 'P - Non-Metal']","[1.78, 2.19]",2,"{'In': 1.0, 'P': 3.0}",TRUE
ZnGaSe4Au4,"['Zn', 'Ga', 'Se', 'Au']","['Zn - Metal', 'Ga - Metal', 'Se - Non-Metal', 'Au - Metal']","[1.65, 1.81, 2.55, 2.54]",4,"{'Zn': 1.0, 'Ga': 1.0, 'Se': 4.0, 'Au': 4.0}",FALSE
HoO3Sb3Ta4,"['Ho', 'O', 'Sb', 'Ta']","['Ho - Metal', 'O - Non-Metal', 'Sb - Non-Metal', 'Ta - Metal']","[1.23, 3.44, 2.05, 1.5]",4,"{'Ho': 1.0, 'O': 3.0, 'Sb': 3.0, 'Ta': 4.0}",TRUE
HoPa2Se4,"['Ho', 'Pa', 'Se']","['Ho - Metal', 'Pa - Metal', 'Se - Non-Metal']","[1.23, 1.5, 2.55]",3,"{'Ho': 1.0, 'Pa': 2.0, 'Se': 4.0}",TRUE
ClAu5,"['Cl', 'Au']","['Cl - Non-Metal', 'Au - Metal']","[3.16, 2.54]",2,"{'Cl': 1.0, 'Au': 5.0}",FALSE
SSbV8,"['S', 'Sb', 'V']","['S - Non-Metal', 'Sb - Non-Metal', 'V - Metal']","[2.58, 2.05, 1.63]",3,"{'S': 1.0, 'Sb': 1.0, 'V': 8.0}",TRUE
P3Sb4,"['P', 'Sb']","['P - Non-Metal', 'Sb - Non-Metal']","[2.19, 2.05]",2,"{'P': 3.0, 'Sb': 4.0}",FALSE
Xe2Co3Mo7,"['Xe', 'Co', 'Mo']","['Xe - Non-Metal', 'Co - Metal', 'Mo - Metal']","[2.6, 1.88, 2.16]",3,"{'Xe': 2.0, 'Co': 3.0, 'Mo': 7.0}",FALSE
IrAs2,"['Ir', 'As']","['Ir - Metal', 'As - Non-Metal']","[2.2, 2.18]",2,"{'Ir': 1.0, 'As': 2.0}",FALSE
IFe4,"['I', 'Fe']","['I - Non-Metal', 'Fe - Metal']","[2.66, 1.83]",2,"{'I': 1.0, 'Fe': 4.0}",FALSE
BrH4,"['Br', 'H']","['Br - Non-Metal', 'H - Unknown']","[2.96, 2.2]",2,"{'Br': 1.0, 'H': 4.0}",FALSE
Tl2Ge3,"['Tl', 'Ge']","['Tl - Metal', 'Ge - Non-Metal']","[1.62, 2.01]",2,"{'Tl': 2.0, 'Ge': 3.0}",TRUE
IrS6,"['Ir', 'S']","['Ir - Metal', 'S - Non-Metal']","[2.2, 2.58]",2,"{'Ir': 1.0, 'S': 6.0}",FALSE
UN3,"['U', 'N']","['U - Metal', 'N - Non-Metal']","[1.38, 3.04]",2,"{'U': 1.0, 'N': 3.0}",FALSE
MnAs3,"['Mn', 'As']","['Mn - Metal', 'As - Non-Metal']","[1.55, 2.18]",2,"{'Mn': 1.0, 'As': 3.0}",TRUE
SeSi4,"['Se', 'Si']","['Se - Non-Metal', 'Si - Non-Metal']","[2.55, 1.9]",2,"{'Se': 1.0, 'Si': 4.0}",FALSE
BrTb,"['Br', 'Tb']","['Br - Non-Metal', 'Tb - Metal']","[2.96, 1.1]",2,"{'Br': 1.0, 'Tb': 1.0}",TRUE
FeBi3As4,"['Fe', 'Bi', 'As']","['Fe - Metal', 'Bi - Metal', 'As - Non-Metal']","[1.83, 2.02, 2.18]",3,"{'Fe': 1.0, 'Bi': 3.0, 'As': 4.0}",TRUE
MnF3Hg4,"['Mn', 'F', 'Hg']","['Mn - Metal', 'F - Non-Metal', 'Hg - Metal']","[1.55, 3.98, 2.0]",3,"{'Mn': 1.0, 'F': 3.0, 'Hg': 4.0}",FALSE
AsLaGe2Cl4Hf4,"['As', 'La', 'Ge', 'Cl', 'Hf']","['As - Non-Metal', 'La - Metal', 'Ge - Non-Metal', 'Cl - Non-Metal', 'Hf - Metal']","[2.18, 1.1, 2.01, 3.16, 1.3]",5,"{'As': 1.0, 'La': 1.0, 'Ge': 2.0, 'Cl': 4.0, 'Hf': 4.0}",TRUE
BiN3Ge4,"['Bi', 'N', 'Ge']","['Bi - Metal', 'N - Non-Metal', 'Ge - Non-Metal']","[2.02, 3.04, 2.01]",3,"{'Bi': 1.0, 'N': 3.0, 'Ge': 4.0}",FALSE
BrCr3,"['Br', 'Cr']","['Br - Non-Metal', 'Cr - Metal']","[2.96, 1.66]",2,"{'Br': 1.0, 'Cr': 3.0}",FALSE
XePr2Tc7,"['Xe', 'Pr', 'Tc']","['Xe - Non-Metal', 'Pr - Metal', 'Tc - Metal']","[2.6, 1.13, 1.9]",3,"{'Xe': 1.0, 'Pr': 2.0, 'Tc': 7.0}",TRUE
CaILu2C4Ga5,"['Ca', 'I', 'Lu', 'C', 'Ga']","['Ca - Metal', 'I - Non-Metal', 'Lu - Metal', 'C - Non-Metal', 'Ga - Metal']","[1.0, 2.66, 1.27, 2.55, 1.81]",5,"{'Ca': 1.0, 'I': 1.0, 'Lu': 2.0, 'C': 4.0, 'Ga': 5.0}",TRUE
Fe2Te5,"['Fe', 'Te']","['Fe - Metal', 'Te - Non-Metal']","[1.83, 2.1]",2,"{'Fe': 2.0, 'Te': 5.0}",TRUE
W3As4,"['W', 'As']","['W - Metal', 'As - Non-Metal']","[2.36, 2.18]",2,"{'W': 3.0, 'As': 4.0}",FALSE
YbSi3,"['Yb', 'Si']","['Yb - Metal', 'Si - Non-Metal']","[1.1, 1.9]",2,"{'Yb': 1.0, 'Si': 3.0}",TRUE
SmS3,"['Sm', 'S']","['Sm - Metal', 'S - Non-Metal']","[1.17, 2.58]",2,"{'Sm': 1.0, 'S': 3.0}",TRUE
XeHg3Fe7,"['Xe', 'Hg', 'Fe']","['Xe - Non-Metal', 'Hg - Metal', 'Fe - Metal']","[2.6, 2.0, 1.83]",3,"{'Xe': 1.0, 'Hg': 3.0, 'Fe': 7.0}",FALSE
SRh,"['S', 'Rh']","['S - Non-Metal', 'Rh - Metal']","[2.58, 2.28]",2,"{'S': 1.0, 'Rh': 1.0}",FALSE
SMn3,"['S', 'Mn']","['S - Non-Metal', 'Mn - Metal']","[2.58, 1.55]",2,"{'S': 1.0, 'Mn': 3.0}",TRUE
HfFe3Se3,"['Hf', 'Fe', 'Se']","['Hf - Metal', 'Fe - Metal', 'Se - Non-Metal']","[1.3, 1.83, 2.55]",3,"{'Hf': 1.0, 'Fe': 3.0, 'Se': 3.0}",TRUE
DyC3,"['Dy', 'C']","['Dy - Metal', 'C - Non-Metal']","[1.22, 2.55]",2,"{'Dy': 1.0, 'C': 3.0}",TRUE
PoRu2Sb5,"['Po', 'Ru', 'Sb']","['Po - Non-Metal', 'Ru - Metal', 'Sb - Non-Metal']","[2.0, 2.2, 2.05]",3,"{'Po': 1.0, 'Ru': 2.0, 'Sb': 5.0}",TRUE
TeTc2Ir2At3,"['Te', 'Tc', 'Ir', 'At']","['Te - Non-Metal', 'Tc - Metal', 'Ir - Metal', 'At - Non-Metal']","[2.1, 1.9, 2.2, 2.2]",4,"{'Te': 1.0, 'Tc': 2.0, 'Ir': 2.0, 'At': 3.0}",TRUE
ClCuTa6,"['Cl', 'Cu', 'Ta']","['Cl - Non-Metal', 'Cu - Metal', 'Ta - Metal']","[3.16, 1.9, 1.5]",3,"{'Cl': 1.0, 'Cu': 1.0, 'Ta': 6.0}",FALSE
PoCo4,"['Po', 'Co']","['Po - Non-Metal', 'Co - Metal']","[2.0, 1.88]",2,"{'Po': 1.0, 'Co': 4.0}",TRUE
PdXeOs7,"['Pd', 'Xe', 'Os']","['Pd - Metal', 'Xe - Non-Metal', 'Os - Metal']","[2.2, 2.6, 2.2]",3,"{'Pd': 1.0, 'Xe': 1.0, 'Os': 7.0}",FALSE
Si2Cu2Po3Au4,"['Si', 'Cu', 'Po', 'Au']","['Si - Non-Metal', 'Cu - Metal', 'Po - Non-Metal', 'Au - Metal']","[1.9, 1.9, 2.0, 2.54]",4,"{'Si': 2.0, 'Cu': 2.0, 'Po': 3.0, 'Au': 4.0}",TRUE
IIrTi7,"['I', 'Ir', 'Ti']","['I - Non-Metal', 'Ir - Metal', 'Ti - Metal']","[2.66, 2.2, 1.54]",3,"{'I': 1.0, 'Ir': 1.0, 'Ti': 7.0}",FALSE
ClPdTm3Pb4,"['Cl', 'Pd', 'Tm', 'Pb']","['Cl - Non-Metal', 'Pd - Metal', 'Tm - Metal', 'Pb - Metal']","[3.16, 2.2, 1.25, 2.33]",4,"{'Cl': 1.0, 'Pd': 1.0, 'Tm': 3.0, 'Pb': 4.0}",FALSE
SeTa6,"['Se', 'Ta']","['Se - Non-Metal', 'Ta - Metal']","[2.55, 1.5]",2,"{'Se': 1.0, 'Ta': 6.0}",TRUE
TcF2,"['Tc', 'F']","['Tc - Metal', 'F - Non-Metal']","[1.9, 3.98]",2,"{'Tc': 1.0, 'F': 2.0}",FALSE
F2Mo5Mg7,"['F', 'Mo', 'Mg']","['F - Non-Metal', 'Mo - Metal', 'Mg - Metal']","[3.98, 2.16, 1.31]",3,"{'F': 2.0, 'Mo': 5.0, 'Mg': 7.0}",FALSE
EsS3Zr3,"['Es', 'S', 'Zr']","['Es - Metal', 'S - Non-Metal', 'Zr - Metal']","[1.3, 2.58, 1.33]",3,"{'Es': 1.0, 'S': 3.0, 'Zr': 3.0}",TRUE
Ir2P5,"['Ir', 'P']","['Ir - Metal', 'P - Non-Metal']","[2.2, 2.19]",2,"{'Ir': 2.0, 'P': 5.0}",FALSE
BrHf5Tc6,"['Br', 'Hf', 'Tc']","['Br - Non-Metal', 'Hf - Metal', 'Tc - Metal']","[2.96, 1.3, 1.9]",3,"{'Br': 1.0, 'Hf': 5.0, 'Tc': 6.0}",TRUE
XeSi8,"['Xe', 'Si']","['Xe - Non-Metal', 'Si - Non-Metal']","[2.6, 1.9]",2,"{'Xe': 1.0, 'Si': 8.0}",FALSE
MoTe2Au2,"['Mo', 'Te', 'Au']","['Mo - Metal', 'Te - Non-Metal', 'Au - Metal']","[2.16, 2.1, 2.54]",3,"{'Mo': 1.0, 'Te': 2.0, 'Au': 2.0}",FALSE
GaSb,"['Ga', 'Sb']","['Ga - Metal', 'Sb - Non-Metal']","[1.81, 2.05]",2,"{'Ga': 1.0, 'Sb': 1.0}",TRUE
RhSi2,"['Rh', 'Si']","['Rh - Metal', 'Si - Non-Metal']","[2.28, 1.9]",2,"{'Rh': 1.0, 'Si': 2.0}",TRUE
Li2C2Po3,"['Li', 'C', 'Po']","['Li - Metal', 'C - Non-Metal', 'Po - Non-Metal']","[0.98, 2.55, 2.0]",3,"{'Li': 2.0, 'C': 2.0, 'Po': 3.0}",TRUE
Ge3Si4,"['Ge', 'Si']","['Ge - Non-Metal', 'Si - Non-Metal']","[2.01, 1.9]",2,"{'Ge': 3.0, 'Si': 4.0}",TRUE
TaSi2Br2Se5,"['Ta', 'Si', 'Br', 'Se']","['Ta - Metal', 'Si - Non-Metal', 'Br - Non-Metal', 'Se - Non-Metal']","[1.5, 1.9, 2.96, 2.55]",4,"{'Ta': 1.0, 'Si': 2.0, 'Br': 2.0, 'Se': 5.0}",FALSE
HMgBr2Pd3Ir5,"['H', 'Mg', 'Br', 'Pd', 'Ir']","['H - Unknown', 'Mg - Metal', 'Br - Non-Metal', 'Pd - Metal', 'Ir - Metal']","[2.2, 1.31, 2.96, 2.2, 2.2]",5,"{'H': 1.0, 'Mg': 1.0, 'Br': 2.0, 'Pd': 3.0, 'Ir': 5.0}",FALSE
AsTl5,"['As', 'Tl']","['As - Non-Metal', 'Tl - Metal']","[2.18, 1.62]",2,"{'As': 1.0, 'Tl': 5.0}",TRUE
TeGe2Sb3,"['Te', 'Ge', 'Sb']","['Te - Non-Metal', 'Ge - Non-Metal', 'Sb - Non-Metal']","[2.1, 2.01, 2.05]",3,"{'Te': 1.0, 'Ge': 2.0, 'Sb': 3.0}",TRUE
YbNi3Bi5,"['Yb', 'Ni', 'Bi']","['Yb - Metal', 'Ni - Metal', 'Bi - Metal']","[1.1, 1.91, 2.02]",3,"{'Yb': 1.0, 'Ni': 3.0, 'Bi': 5.0}",TRUE
BrAu2Tc5,"['Br', 'Au', 'Tc']","['Br - Non-Metal', 'Au - Metal', 'Tc - Metal']","[2.96, 2.54, 1.9]",3,"{'Br': 1.0, 'Au': 2.0, 'Tc': 5.0}",FALSE
PdDyI3Re6,"['Pd', 'Dy', 'I', 'Re']","['Pd - Metal', 'Dy - Metal', 'I - Non-Metal', 'Re - Metal']","[2.2, 1.22, 2.66, 1.9]",4,"{'Pd': 1.0, 'Dy': 1.0, 'I': 3.0, 'Re': 6.0}",TRUE
SeLuLrI4,"['Se', 'Lu', 'Lr', 'I']","['Se - Non-Metal', 'Lu - Metal', 'Lr - Metal', 'I - Non-Metal']","[2.55, 1.27, 1.3, 2.66]",4,"{'Se': 1.0, 'Lu': 1.0, 'Lr': 1.0, 'I': 4.0}",TRUE
CrAt4V5,"['Cr', 'At', 'V']","['Cr - Metal', 'At - Non-Metal', 'V - Metal']","[1.66, 2.2, 1.63]",3,"{'Cr': 1.0, 'At': 4.0, 'V': 5.0}",TRUE
Ge2Hg3,"['Ge', 'Hg']","['Ge - Non-Metal', 'Hg - Metal']","[2.01, 2.0]",2,"{'Ge': 2.0, 'Hg': 3.0}",TRUE
OCl2V7,"['O', 'Cl', 'V']","['O - Non-Metal', 'Cl - Non-Metal', 'V - Metal']","[3.44, 3.16, 1.63]",3,"{'O': 1.0, 'Cl': 2.0, 'V': 7.0}",FALSE
H2Po4Bk5,"['H', 'Po', 'Bk']","['H - Unknown', 'Po - Non-Metal', 'Bk - Metal']","[2.2, 2.0, 1.3]",3,"{'H': 2.0, 'Po': 4.0, 'Bk': 5.0}",TRUE
FeBr3Ca4,"['Fe', 'Br', 'Ca']","['Fe - Metal', 'Br - Non-Metal', 'Ca - Metal']","[1.83, 2.96, 1.0]",3,"{'Fe': 1.0, 'Br': 3.0, 'Ca': 4.0}",TRUE
Be2Hg3Se5,"['Be', 'Hg', 'Se']","['Be - Metal', 'Hg - Metal', 'Se - Non-Metal']","[1.57, 2.0, 2.55]",3,"{'Be': 2.0, 'Hg': 3.0, 'Se': 5.0}",TRUE
BrTi3Mn4,"['Br', 'Ti', 'Mn']","['Br - Non-Metal', 'Ti - Metal', 'Mn - Metal']","[2.96, 1.54, 1.55]",3,"{'Br': 1.0, 'Ti': 3.0, 'Mn': 4.0}",TRUE
IMg2Tl3,"['I', 'Mg', 'Tl']","['I - Non-Metal', 'Mg - Metal', 'Tl - Metal']","[2.66, 1.31, 1.62]",3,"{'I': 1.0, 'Mg': 2.0, 'Tl': 3.0}",TRUE
OsSe2,"['Os', 'Se']","['Os - Metal', 'Se - Non-Metal']","[2.2, 2.55]",2,"{'Os': 1.0, 'Se': 2.0}",FALSE
NMnCdTe2Er2,"['N', 'Mn', 'Cd', 'Te', 'Er']","['N - Non-Metal', 'Mn - Metal', 'Cd - Metal', 'Te - Non-Metal', 'Er - Metal']","[3.04, 1.55, 1.69, 2.1, 1.24]",5,"{'N': 1.0, 'Mn': 1.0, 'Cd': 1.0, 'Te': 2.0, 'Er': 2.0}",TRUE
PoAt2,"['Po', 'At']","['Po - Non-Metal', 'At - Non-Metal']","[2.0, 2.2]",2,"{'Po': 1.0, 'At': 2.0}",TRUE
SePo2,"['Se', 'Po']","['Se - Non-Metal', 'Po - Non-Metal']","[2.55, 2.0]",2,"{'Se': 1.0, 'Po': 2.0}",FALSE
Gd2Cl3V7,"['Gd', 'Cl', 'V']","['Gd - Metal', 'Cl - Non-Metal', 'V - Metal']","[1.2, 3.16, 1.63]",3,"{'Gd': 2.0, 'Cl': 3.0, 'V': 7.0}",TRUE
NiSe3Tb5,"['Ni', 'Se', 'Tb']","['Ni - Metal', 'Se - Non-Metal', 'Tb - Metal']","[1.91, 2.55, 1.1]",3,"{'Ni': 1.0, 'Se': 3.0, 'Tb': 5.0}",TRUE
ClGeMo2V8,"['Cl', 'Ge', 'Mo', 'V']","['Cl - Non-Metal', 'Ge - Non-Metal', 'Mo - Metal', 'V - Metal']","[3.16, 2.01, 2.16, 1.63]",4,"{'Cl': 1.0, 'Ge': 1.0, 'Mo': 2.0, 'V': 8.0}",FALSE
NP2Al5,"['N', 'P', 'Al']","['N - Non-Metal', 'P - Non-Metal', 'Al - Metal']","[3.04, 2.19, 1.61]",3,"{'N': 1.0, 'P': 2.0, 'Al': 5.0}",FALSE
TbW3Pt3Se5,"['Tb', 'W', 'Pt', 'Se']","['Tb - Metal', 'W - Metal', 'Pt - Metal', 'Se - Non-Metal']","[1.1, 2.36, 2.28, 2.55]",4,"{'Tb': 1.0, 'W': 3.0, 'Pt': 3.0, 'Se': 5.0}",TRUE
Po2Os3Si4,"['Po', 'Os', 'Si']","['Po - Non-Metal', 'Os - Metal', 'Si - Non-Metal']","[2.0, 2.2, 1.9]",3,"{'Po': 2.0, 'Os': 3.0, 'Si': 4.0}",TRUE
PaSe3Ti4,"['Pa', 'Se', 'Ti']","['Pa - Metal', 'Se - Non-Metal', 'Ti - Metal']","[1.5, 2.55, 1.54]",3,"{'Pa': 1.0, 'Se': 3.0, 'Ti': 4.0}",TRUE
ClTi6,"['Cl', 'Ti']","['Cl - Non-Metal', 'Ti - Metal']","[3.16, 1.54]",2,"{'Cl': 1.0, 'Ti': 6.0}",FALSE
SeF2Eu2,"['Se', 'F', 'Eu']","['Se - Non-Metal', 'F - Non-Metal', 'Eu - Metal']","[2.55, 3.98, 1.2]",3,"{'Se': 1.0, 'F': 2.0, 'Eu': 2.0}",FALSE
XeY2C7,"['Xe', 'Y', 'C']","['Xe - Non-Metal', 'Y - Metal', 'C - Non-Metal']","[2.6, 1.22, 2.55]",3,"{'Xe': 1.0, 'Y': 2.0, 'C': 7.0}",FALSE
Pt2Po3,"['Pt', 'Po']","['Pt - Metal', 'Po - Non-Metal']","[2.28, 2.0]",2,"{'Pt': 2.0, 'Po': 3.0}",FALSE
GdAt,"['Gd', 'At']","['Gd - Metal', 'At - Non-Metal']","[1.2, 2.2]",2,"{'Gd': 1.0, 'At': 1.0}",TRUE
TaGe5,"['Ta', 'Ge']","['Ta - Metal', 'Ge - Non-Metal']","[1.5, 2.01]",2,"{'Ta': 1.0, 'Ge': 5.0}",TRUE
Ir2O5,"['Ir', 'O']","['Ir - Metal', 'O - Non-Metal']","[2.2, 3.44]",2,"{'Ir': 2.0, 'O': 5.0}",FALSE
KrTc2W2Mo6,"['Kr', 'Tc', 'W', 'Mo']","['Kr - Non-Metal', 'Tc - Metal', 'W - Metal', 'Mo - Metal']","[3.0, 1.9, 2.36, 2.16]",4,"{'Kr': 1.0, 'Tc': 2.0, 'W': 2.0, 'Mo': 6.0}",FALSE
OWTl5,"['O', 'W', 'Tl']","['O - Non-Metal', 'W - Metal', 'Tl - Metal']","[3.44, 2.36, 1.62]",3,"{'O': 1.0, 'W': 1.0, 'Tl': 5.0}",FALSE
KFeRn,"['K', 'Fe', 'Rn']","['K - Metal', 'Fe - Metal', 'Rn - Non-Metal']","[0.82, 1.83, 2.2]",3,"{'K': 1.0, 'Fe': 1.0, 'Rn': 1.0}",TRUE
OTbNi5,"['O', 'Tb', 'Ni']","['O - Non-Metal', 'Tb - Metal', 'Ni - Metal']","[3.44, 1.1, 1.91]",3,"{'O': 1.0, 'Tb': 1.0, 'Ni': 5.0}",FALSE
YPbBi3,"['Y', 'Pb', 'Bi']","['Y - Metal', 'Pb - Metal', 'Bi - Metal']","[1.22, 2.33, 2.02]",3,"{'Y': 1.0, 'Pb': 1.0, 'Bi': 3.0}",TRUE
AtZr2B3V6,"['At', 'Zr', 'B', 'V']","['At - Non-Metal', 'Zr - Metal', 'B - Non-Metal', 'V - Metal']","[2.2, 1.33, 2.04, 1.63]",4,"{'At': 1.0, 'Zr': 2.0, 'B': 3.0, 'V': 6.0}",TRUE
UAt3,"['U', 'At']","['U - Metal', 'At - Non-Metal']","[1.38, 2.2]",2,"{'U': 1.0, 'At': 3.0}",TRUE
O2La3Se5,"['O', 'La', 'Se']","['O - Non-Metal', 'La - Metal', 'Se - Non-Metal']","[3.44, 1.1, 2.55]",3,"{'O': 2.0, 'La': 3.0, 'Se': 5.0}",FALSE
Cl2Os2Cr5,"['Cl', 'Os', 'Cr']","['Cl - Non-Metal', 'Os - Metal', 'Cr - Metal']","[3.16, 2.2, 1.66]",3,"{'Cl': 2.0, 'Os': 2.0, 'Cr': 5.0}",FALSE
CmCl3,"['Cm', 'Cl']","['Cm - Metal', 'Cl - Non-Metal']","[1.3, 3.16]",2,"{'Cm': 1.0, 'Cl': 3.0}",FALSE
EsS4,"['Es', 'S']","['Es - Metal', 'S - Non-Metal']","[1.3, 2.58]",2,"{'Es': 1.0, 'S': 4.0}",TRUE
VPo5B6,"['V', 'Po', 'B']","['V - Metal', 'Po - Non-Metal', 'B - Non-Metal']","[1.63, 2.0, 2.04]",3,"{'V': 1.0, 'Po': 5.0, 'B': 6.0}",TRUE
ClCuIr8,"['Cl', 'Cu', 'Ir']","['Cl - Non-Metal', 'Cu - Metal', 'Ir - Metal']","[3.16, 1.9, 2.2]",3,"{'Cl': 1.0, 'Cu': 1.0, 'Ir': 8.0}",FALSE
RnN3,"['Rn', 'N']","['Rn - Non-Metal', 'N - Non-Metal']","[2.2, 3.04]",2,"{'Rn': 1.0, 'N': 3.0}",FALSE
CIYb3V7,"['C', 'I', 'Yb', 'V']","['C - Non-Metal', 'I - Non-Metal', 'Yb - Metal', 'V - Metal']","[2.55, 2.66, 1.1, 1.63]",4,"{'C': 1.0, 'I': 1.0, 'Yb': 3.0, 'V': 7.0}",TRUE
ORh3Si4,"['O', 'Rh', 'Si']","['O - Non-Metal', 'Rh - Metal', 'Si - Non-Metal']","[3.44, 2.28, 1.9]",3,"{'O': 1.0, 'Rh': 3.0, 'Si': 4.0}",FALSE
CoN4,"['Co', 'N']","['Co - Metal', 'N - Non-Metal']","[1.88, 3.04]",2,"{'Co': 1.0, 'N': 4.0}",FALSE
COs,"['C', 'Os']","['C - Non-Metal', 'Os - Metal']","[2.55, 2.2]",2,"{'C': 1.0, 'Os': 1.0}",FALSE
SeOsMn2Cm2B4,"['Se', 'Os', 'Mn', 'Cm', 'B']","['Se - Non-Metal', 'Os - Metal', 'Mn - Metal', 'Cm - Metal', 'B - Non-Metal']","[2.55, 2.2, 1.55, 1.3, 2.04]",5,"{'Se': 1.0, 'Os': 1.0, 'Mn': 2.0, 'Cm': 2.0, 'B': 4.0}",TRUE
U2O3,"['U', 'O']","['U - Metal', 'O - Non-Metal']","[1.38, 3.44]",2,"{'U': 2.0, 'O': 3.0}",FALSE
As2Ir3P4,"['As', 'Ir', 'P']","['As - Non-Metal', 'Ir - Metal', 'P - Non-Metal']","[2.18, 2.2, 2.19]",3,"{'As': 2.0, 'Ir': 3.0, 'P': 4.0}",FALSE
ICl3Ru4Ti5,"['I', 'Cl', 'Ru', 'Ti']","['I - Non-Metal', 'Cl - Non-Metal', 'Ru - Metal', 'Ti - Metal']","[2.66, 3.16, 2.2, 1.54]",4,"{'I': 1.0, 'Cl': 3.0, 'Ru': 4.0, 'Ti': 5.0}",FALSE
RbI,"['Rb', 'I']","['Rb - Metal', 'I - Non-Metal']","[0.82, 2.66]",2,"{'Rb': 1.0, 'I': 1.0}",TRUE
KrEr2Te4,"['Kr', 'Er', 'Te']","['Kr - Non-Metal', 'Er - Metal', 'Te - Non-Metal']","[3.0, 1.24, 2.1]",3,"{'Kr': 1.0, 'Er': 2.0, 'Te': 4.0}",FALSE
P2Re2Ni3,"['P', 'Re', 'Ni']","['P - Non-Metal', 'Re - Metal', 'Ni - Metal']","[2.19, 1.9, 1.91]",3,"{'P': 2.0, 'Re': 2.0, 'Ni': 3.0}",TRUE
InC3At3,"['In', 'C', 'At']","['In - Metal', 'C - Non-Metal', 'At - Non-Metal']","[1.78, 2.55, 2.2]",3,"{'In': 1.0, 'C': 3.0, 'At': 3.0}",FALSE
SClSb4,"['S', 'Cl', 'Sb']","['S - Non-Metal', 'Cl - Non-Metal', 'Sb - Non-Metal']","[2.58, 3.16, 2.05]",3,"{'S': 1.0, 'Cl': 1.0, 'Sb': 4.0}",FALSE
Mn2I3P5,"['Mn', 'I', 'P']","['Mn - Metal', 'I - Non-Metal', 'P - Non-Metal']","[1.55, 2.66, 2.19]",3,"{'Mn': 2.0, 'I': 3.0, 'P': 5.0}",FALSE
ClCo2,"['Cl', 'Co']","['Cl - Non-Metal', 'Co - Metal']","[3.16, 1.88]",2,"{'Cl': 1.0, 'Co': 2.0}",FALSE
BrAs3In6,"['Br', 'As', 'In']","['Br - Non-Metal', 'As - Non-Metal', 'In - Metal']","[2.96, 2.18, 1.78]",3,"{'Br': 1.0, 'As': 3.0, 'In': 6.0}",FALSE
F2Mo4Co5,"['F', 'Mo', 'Co']","['F - Non-Metal', 'Mo - Metal', 'Co - Metal']","[3.98, 2.16, 1.88]",3,"{'F': 2.0, 'Mo': 4.0, 'Co': 5.0}",FALSE
CoNiSn,"['Co', 'Ni', 'Sn']","['Co - Metal', 'Ni - Metal', 'Sn - Metal']","[1.88, 1.91, 1.96]",3,"{'Co': 1.0, 'Ni': 1.0, 'Sn': 1.0}",TRUE
BrMg2Ir3Re8,"['Br', 'Mg', 'Ir', 'Re']","['Br - Non-Metal', 'Mg - Metal', 'Ir - Metal', 'Re - Metal']","[2.96, 1.31, 2.2, 1.9]",4,"{'Br': 1.0, 'Mg': 2.0, 'Ir': 3.0, 'Re': 8.0}",TRUE
EsAt3,"['Es', 'At']","['Es - Metal', 'At - Non-Metal']","[1.3, 2.2]",2,"{'Es': 1.0, 'At': 3.0}",TRUE
PCoOs2As6,"['P', 'Co', 'Os', 'As']","['P - Non-Metal', 'Co - Metal', 'Os - Metal', 'As - Non-Metal']","[2.19, 1.88, 2.2, 2.18]",4,"{'P': 1.0, 'Co': 1.0, 'Os': 2.0, 'As': 6.0}",FALSE
XeTlCmFe3,"['Xe', 'Tl', 'Cm', 'Fe']","['Xe - Non-Metal', 'Tl - Metal', 'Cm - Metal', 'Fe - Metal']","[2.6, 1.62, 1.3, 1.83]",4,"{'Xe': 1.0, 'Tl': 1.0, 'Cm': 1.0, 'Fe': 3.0}",TRUE
